otu	cat_var	comparison	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.high	rab.win.low	diff.btw	diff.win	effect	effect.low	effect.high	overlap	rab.win.mid
Methanobrevibacter_smithii	CD4after_48	high-low	0.1302015693008086	0.5233841838296391	0.1438579731219384	0.5600069823457234	0.34333800631608824	-2.2670741836318733	1.7464063201599096	2.2270826703554603	16.2908188412676	0.1584316761239989	-4.8523496421538805	6.422303986347471	0.3812500113795386	NA
Methanosphaera_stadtmanae	CD4after_48	high-low	0.19460062136996356	0.5600352047212404	0.3196137367233734	0.6714119704791636	-2.463232354542445	-3.317973622231076	-2.29853621749778	1.2884541153370819	7.736025457910314	0.1392567961803358	-4.165996916917819	6.545678071221759	0.4006243589716778	NA
Actinobaculum_sp_oral_taxon_183	CD4after_48	high-low	0.1458511773447993	0.45845516793704905	0.3542678452296874	0.6856750704969514	-2.6902069623153047	-3.349222562152473	-2.5563353020405852	1.0982118922437856	5.531060151948326	0.15298693846295383	-2.8076898970020148	5.954472649471769	0.41623309830762756	NA
Actinomyces_graevenitzii	CD4after_48	high-low	0.10026633487699811	0.45273268262221994	0.15417359367496455	0.5489617202363023	-2.4951529034438504	-1.355006254782273	-2.6481187437976352	-2.337531931102058	9.760315459986217	-0.2701622454656833	-6.755931080627194	2.8861633541784277	0.3489583483623473	NA
Actinomyces_johnsonii	CD4after_48	high-low	0.4447288842540613	0.7408188571615247	0.5055550789627198	0.7992059236587741	-2.9875279077801924	-2.8704020586078087	-3.020830034504023	-0.8476270801383468	5.9001323052724555	-0.09525783834177315	-6.058849852999835	4.252497545863786	0.4437500051514593	NA
Actinomyces_massiliensis	CD4after_48	high-low	0.5587565432361452	0.8076172271971325	0.5248222115731955	0.800155286223478	-2.8541428108673284	-3.07398469195347	-2.806024167351646	0.4113259245109102	5.263809162353596	0.06783589864317431	-3.772217802985849	5.358559163916674	0.4651404818289442	NA
Actinomyces_naeslundii	CD4after_48	high-low	0.37733411001804407	0.6763948627895914	0.4519239972082799	0.7557814604397729	-2.9771680918138905	-3.43420111232483	-2.9001034852390735	0.6115999386099435	4.943514493326914	0.1019559298634753	-3.2747986585188444	5.955657146683614	0.4416666720140921	NA
Actinomyces_odontolyticus	CD4after_48	high-low	0.755758236813829	0.9128796931681753	0.6530711940012661	0.8886761765662701	4.970040204981056	8.446047141156821	4.830459705867698	-0.396283666096628	11.45489341020512	-0.031473060541271296	-5.972241750258274	5.573724311571485	0.4630593165670134	NA
Actinomyces_oris	CD4after_48	high-low	0.033973104424100356	0.291443603696926	0.019944483389965996	0.3544852154335157	-0.7374234239212996	9.10085959845211	-1.2035510715724147	-4.37225493492883	11.918708088949295	-0.48534480739673425	-8.082604685873452	3.3351273705556284	0.30416668758301235	NA
Actinomyces_sp_HMSC035G02	CD4after_48	high-low	0.3297945596016273	0.6774942027896574	0.3323493242459477	0.702762685168488	-1.8118200234509487	-0.9246985148576474	-1.9446667691217474	-1.7084821259880183	10.086596852904261	-0.18872446047066588	-5.24012999028624	3.479240697461025	0.39750261111130913	NA
Actinomyces_sp_HPA0247	CD4after_48	high-low	0.12040056875159019	0.46817126863496783	0.16214422557146377	0.5531589945129104	-2.4213733824198247	-1.0391019808886988	-2.586389094138436	-2.2122764063509752	9.310114951969982	-0.2614018752737086	-6.434780017372311	2.778556330625879	0.3697916792969653	NA
Actinomyces_sp_ICM47	CD4after_48	high-low	0.2996606965624151	0.6606538717618508	0.36125046302657926	0.7171723689275247	-1.7875522431477737	-2.4307019839970767	-1.6726265921521772	1.2105951985860548	8.930419008546318	0.12960842500236497	-3.2688102023885772	5.351506099648431	0.42395834037200447	NA
Actinomyces_sp_S6_Spd3	CD4after_48	high-low	0.38199385496377836	0.7006244707916853	0.4636112573885029	0.773793342226963	-3.0297751683055925	-2.6756332233176927	-3.080989780815166	-0.7090019659112823	6.04629357472936	-0.1047528319923956	-5.3328980954748015	3.1377765054580626	0.43496358557409454	NA
Actinomyces_sp_oral_taxon_180	CD4after_48	high-low	0.4725668989203355	0.7508321610531162	0.5198746629584186	0.8044847337787817	-2.8904632235386085	-2.6224633744910193	-2.9313990538768433	-0.5430362378773168	5.819215532956446	-0.0841413608652409	-4.991767056059687	3.3116575793926573	0.45993756867478575	NA
Actinomyces_sp_oral_taxon_181	CD4after_48	high-low	0.26043428092169263	0.6129315006389119	0.33264169965905527	0.6868874924523339	-2.7665023536103135	-2.0520273356340315	-2.865773695138566	-1.0505556251856376	8.823892186498771	-0.12635776285196823	-6.237161173107351	3.447926125113506	0.4302083397694629	NA
Actinomyces_sp_oral_taxon_414	CD4after_48	high-low	0.15463238920230488	0.5053861978213974	0.2536589039569991	0.6177374835106856	-2.8736346568647715	-1.955263990641976	-3.0021967096115247	-1.6556629673486736	6.960853458164333	-0.22508098328839887	-6.289147387124858	2.8983869770533266	0.3808532892339546	NA
Actinomyces_sp_oral_taxon_448	CD4after_48	high-low	0.13331867310463563	0.4861165591936231	0.21466888305671317	0.599070300877493	-2.3703148559456295	-1.0625362494684314	-2.5181118841142354	-2.1380534486216938	9.70793309743029	-0.2433181061040488	-7.2755733063411325	2.9703844948789704	0.37356921093896606	NA
Actinomyces_turicensis	CD4after_48	high-low	0.13292116008995314	0.4734638688324634	0.31580058621385637	0.6743900925356641	-2.5141508403601875	-3.362286553414261	-2.3702336163995916	1.1004466606643728	6.196781736073106	0.15161305418714782	-2.525292929178284	5.428887768429896	0.4041666756626246	NA
Actinomyces_viscosus	CD4after_48	high-low	0.47440547517089593	0.751736713507496	0.5470638471301815	0.8216901998601988	-2.950291537207935	-2.7629783910287173	-2.9817314902840764	-0.5120903265562795	5.914612241207213	-0.07288789187836384	-5.066846884570185	3.7698669806091076	0.45993756867478575	NA
Alloscardovia_omnicolens	CD4after_48	high-low	0.3050004922055861	0.6076385410023769	0.4179401808735783	0.7387864595064898	-3.0494502900116682	-3.533111371577313	-2.980149657384297	0.6102451927716519	5.0392295832001	0.09112023906281536	-3.4669674939902397	5.48063376440593	0.44062500544562294	NA
Bifidobacterium_adolescentis	CD4after_48	high-low	0.8324843114672524	0.9455961419390495	0.7830350214547069	0.9376183578530305	0.07892965921541517	-0.4355937824563494	0.14072868917319425	-0.258951042088885	19.095010095095226	-0.017185833264589126	-5.6742465477967565	5.507426195957463	0.4890738823599511	NA
Bifidobacterium_animalis	CD4after_48	high-low	0.6869623940679684	0.8805359051663348	0.6034980652637859	0.854675649780898	-2.482385731036663	-2.545612212334893	-2.4748189663880797	0.08982431702020222	9.658456806493316	0.011589002706761846	-5.549555928321262	5.35805836608803	0.49270833399280384	NA
Bifidobacterium_bifidum	CD4after_48	high-low	0.5761549880504594	0.8345198816890519	0.6160403406921569	0.8602804949938586	-2.5170319670891264	-2.454176582485678	-2.5258345645751543	-0.2324687129130485	9.934968508849106	-0.020310925312065534	-7.042161631916088	5.504842348134345	0.48437500141423134	NA
Bifidobacterium_breve	CD4after_48	high-low	0.6442666093305273	0.8615060607507721	0.5370695375377611	0.8174378919619075	-2.9223774758504053	-3.1960612623932754	-2.8924515801448845	0.28524502626620496	5.7137097550881215	0.037593269317608834	-4.512784641138052	4.5186307760077815	0.47762747340679507	NA
Bifidobacterium_catenulatum	CD4after_48	high-low	0.7533591745573939	0.9136228766483725	0.6589633753878259	0.8866106840761323	-2.263593750474005	-2.540700017496569	-2.2157359980980775	0.29133985446583566	13.333032481320092	0.024876911353697247	-6.151217959011007	5.070425872359762	0.47970863867062674	NA
Bifidobacterium_dentium	CD4after_48	high-low	0.2753442957815346	0.6409069886735864	0.37639045650533687	0.7242616481189609	-2.3131193163618473	-1.5894234026079754	-2.4168893387491206	-1.2186213668099306	10.708184718400041	-0.12721523688346442	-5.895201481136936	3.0252597516464936	0.4193548461810031	NA
Bifidobacterium_longum	CD4after_48	high-low	0.06370467573854055	0.39512713242037123	0.023172017240846353	0.3812406439245021	11.496806917314611	16.506665223846714	10.02585799692336	-3.6764854616488227	16.16104550372934	-0.27984681271821366	-9.471467330034669	4.102859480829719	0.31979168539425423	NA
Bifidobacterium_pseudocatenulatum	CD4after_48	high-low	0.6871476138993132	0.8870319205739516	0.48829065434689717	0.7931161638915483	-1.8774399314523684	-2.64578061892548	-1.7585222955488113	0.7810377531457497	12.184595884526917	0.06092310575177748	-4.851222711194832	5.834968936548104	0.4427083385827051	NA
Gardnerella_vaginalis	CD4after_48	high-low	0.5625099330551149	0.814722466205045	0.5609346729420789	0.8326181941750599	-2.9561869877234805	-3.0355406189158565	-2.944702386366423	-0.13202672114963043	6.281105269084167	-0.018832092466317472	-6.398535762472799	3.914700025964188	0.48595213446319	NA
Parascardovia_denticolens	CD4after_48	high-low	0.46059459828350763	0.75254809063982675	0.5340005261807687	0.8189905111474418	-2.9666601214017447	-2.727272386032018	-3.0003361676788067	-0.47724595322439534	5.8993736159272085	-0.06013306433406272	-5.392435534429518	4.264421541609433	0.4672216470912068	NA
Scardovia_wiggsiae	CD4after_48	high-low	0.060351733312182666	0.36979324723725954	0.06796194494149242	0.4348861275132977	-2.6703531956193682	-0.7205706511544143	-2.878237659565521	-2.691010077034006	9.146606507032228	-0.3511255885406426	-7.3313634441388045	2.9535948955102596	0.3343750168220353	NA
Corynebacterium_durum	CD4after_48	high-low	0.40123272296621837	0.7139133839792088	0.42814004860690197	0.7596371893455818	-2.978363582513051	-3.2410719351881863	-2.9280912480930237	0.6869841139121657	4.9365139990530285	0.12678759988182323	-3.0859040741413106	5.009618550831413	0.43184183769225293	NA
Rothia_dentocariosa	CD4after_48	high-low	0.34460398732746933	0.6767411639694964	0.4363995045558214	0.7562282625614072	-2.545315632505476	-1.9579720319348954	-2.6359399984795306	-1.184456249906745	8.31407284431027	-0.13240159281732217	-5.667926390634593	3.8860637036064345	0.4297606724385378	NA
Rothia_mucilaginosa	CD4after_48	high-low	0.14161178832204757	0.5103194128733011	0.17047840114619012	0.5835361872163574	-1.6811251409756984	5.7726678130764135	-1.8661432292479034	-2.605333412594722	11.554438465148829	-0.2530924225976451	-5.422431830967777	3.1691946033241813	0.3947916766205691	NA
