otu	cat_var	comparison	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.hts	rab.win.msm	diff.btw	diff.win	effect	effect.low	effect.high	overlap	rab.win.pwid
Methanobrevibacter_smithii	risk_group	hts-msm	0.3624167715468884	0.5136835490559797	0.2872421852037296	0.4883869468848903	1.7334470225358114	0.33351280815222495	9.88386594426278	0.7498927925794545	16.20117056882135	0.053485843084645275	-4.790246893984591	5.998771122085771	0.45970805852345287	NA
Methanosphaera_stadtmanae	risk_group	hts-msm	0.16148266158375205	0.27726956693543753	0.17606320709823764	0.3105825227037052	-2.31676084990678	-2.7316791936200175	-1.9846681239607769	0.8713004522760173	9.341028478747322	0.08423738462115793	-4.9433220304890915	6.2658455376857525	0.43460000022179407	NA
Actinobaculum_sp_oral_taxon_183	risk_group	hts-msm	0.21921900945063633	0.3384334125060049	0.4113364755030151	0.5743239183055232	-2.298468334938695	-2.183225468011914	-2.377556483553022	-0.36864967102064483	9.021716140516146	-0.03981259938117053	-5.315386525677991	4.080456720255531	0.47550489910201027	NA
Actinomyces_graevenitzii	risk_group	hts-msm	0.3850458954759843	0.5073185125486653	0.5041722445735818	0.6531058087866933	-2.300798613062044	-2.211306084265269	-2.3449762016402786	-0.3080851148046353	8.333196010315195	-0.03261998274416975	-4.8361591065720475	4.3802682632131	0.4791041792339139	NA
Actinomyces_johnsonii	risk_group	hts-msm	0.3828384791359264	0.4964528234760783	0.5330436208287797	0.6774546403542855	-2.7610786992522325	-2.78258091095649	-2.7399056060680635	-0.1267266066692514	5.943514260618404	-0.017989599757056197	-5.863491023896052	4.095463138086823	0.4888000000373524	NA
Actinomyces_massiliensis	risk_group	hts-msm	0.3303355523641982	0.4365184773481584	0.4671155608848133	0.6205165749470194	-2.7189013978541308	-2.7154585492472556	-2.721873996367661	-0.21853466674506627	5.527111861664057	-0.03266740522059487	-5.079947097113593	3.5886892748489787	0.4802000000661033	NA
Actinomyces_naeslundii	risk_group	hts-msm	0.6739190998194985	0.7650179270572094	0.5579577175144083	0.710179555529132	-2.4537881089641207	-2.5193260421109542	-2.391069655810174	-0.001323800461806357	7.774042851503809	-1.8344245777029717e-4	-5.148927158014812	4.67897109282588	0.49990001999633443	NA
Actinomyces_odontolyticus	risk_group	hts-msm	0.5371488733809898	0.6619631330387251	0.42509370325468204	0.6256918031016991	7.42543567181749	7.475266760507566	7.37324239355691	-0.5238414662762088	11.11002583851325	-0.049486985256552846	-5.530123767879102	4.705650817887129	0.46820000010643054	NA
Actinomyces_oris	risk_group	hts-msm	0.3947965166957079	0.535967708030813	0.3452976953138888	0.5408358814765083	0.29805183871808083	1.2033170332267584	-0.08279165535301658	-0.6954123755695836	12.101773707938165	-0.06287247324747092	-5.188773106525472	4.147544596151286	0.459600000135552	NA
Actinomyces_sp_HMSC035G02	risk_group	hts-msm	0.5843545602483574	0.6951226477205151	0.6306723568995288	0.7697107681148615	-1.5803314030513729	-1.5243567052830684	-1.6198203920634064	-0.17101487242820035	9.638303665705163	-0.017151726028136145	-4.44061992506346	4.195477250274151	0.4906000000313446	NA
