taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6;mean_qval;median_qval;fisher_qval;clr_mean_diff;structural_zero;x_label;y_label;comparison;cat_var
Actinomyces;0;FALSE;FALSE;FALSE;FALSE;0.8712882827578091;0.9091911593374971;0.9999999999999998;-0.3000847986788939;No;-1.8593716994421938;21;high_low;CD4after_48
Bifidobacterium;0;FALSE;FALSE;FALSE;FALSE;0.5075709418361938;0.5227351227556754;0.9184983029696597;-0.3658647317818465;No;-1.8593716994421938;21;high_low;CD4after_48
Collinsella;0;FALSE;FALSE;FALSE;FALSE;0.8299888955105084;0.8650154258541486;0.9999999801217347;-0.13455800579326213;No;-1.8593716994421938;21;high_low;CD4after_48
Enorma;0;FALSE;FALSE;FALSE;FALSE;0.9012987362557215;0.9467136471490554;1;1.1285263435541886;No;-1.8593716994421938;21;high_low;CD4after_48
Slackia;0;FALSE;FALSE;FALSE;FALSE;0.2831449523347606;0.13338024257305867;5.347809111065995e-4;0.5481236346310562;No;-1.8593716994421938;21;high_low;CD4after_48
Bacteroides;0;FALSE;FALSE;FALSE;FALSE;0.9354381833658271;0.9300149367237938;1;0.05876998108854919;No;-1.8593716994421938;21;high_low;CD4after_48
Prevotella;0;FALSE;FALSE;FALSE;FALSE;0.7097419585976462;0.6959073424618056;0.9999988911181654;0.4897423722528805;No;-1.8593716994421938;21;high_low;CD4after_48
Alistipes;0;FALSE;FALSE;FALSE;FALSE;0.9540656498180483;0.9436013068638871;1;0.05004833388064681;No;-1.8593716994421938;21;high_low;CD4after_48
Parabacteroides;0;FALSE;FALSE;FALSE;FALSE;0.858479911154166;0.8220986781846348;0.9999999999999983;0.39039611832356286;No;-1.8593716994421938;21;high_low;CD4after_48
Lactobacillus;0;FALSE;FALSE;FALSE;FALSE;0.7815287907163593;0.8280013442674928;0.9999999985616602;-1.8593716994421938;No;-1.8593716994421938;21;high_low;CD4after_48
Streptococcus;0;FALSE;FALSE;FALSE;FALSE;0.36850744114793815;0.35818831066695495;0.20406119865909061;-0.7216830785733186;No;-1.8593716994421938;21;high_low;CD4after_48
Clostridium;0;FALSE;FALSE;FALSE;FALSE;0.9993832366261987;0.999362677847072;0.9999999999999999;-0.44010855854839315;No;-1.8593716994421938;21;high_low;CD4after_48
Eubacterium;1;FALSE;FALSE;FALSE;FALSE;0.6711001064012766;0.7191134606473361;0.9986933378086864;0.5801476689706607;No;-1.8593716994421938;21;high_low;CD4after_48
Anaerostipes;0;FALSE;FALSE;FALSE;FALSE;0.6467131098240438;0.701199736056167;0.9994781223113994;-0.26171612315920906;No;-1.8593716994421938;21;high_low;CD4after_48
Blautia;0;FALSE;FALSE;FALSE;FALSE;0.6970986603671618;0.7592424033697527;0.9998012212196812;-0.23081896128737528;No;-1.8593716994421938;21;high_low;CD4after_48
Coprococcus;0;FALSE;FALSE;FALSE;FALSE;0.7103496727312688;0.7394015513656685;0.9999710980479983;0.40926400502128824;No;-1.8593716994421938;21;high_low;CD4after_48
Dorea;1;FALSE;FALSE;FALSE;FALSE;0.6910392904988425;0.7494091388972626;0.9855058249899316;-0.0026206402904166747;No;-1.8593716994421938;21;high_low;CD4after_48
Fusicatenibacter;1;FALSE;FALSE;FALSE;FALSE;0.6282611562686252;0.6650128582045667;0.9537905352999017;-0.2707897735073896;No;-1.8593716994421938;21;high_low;CD4after_48
Lachnospiraceae_unclassified;0;FALSE;FALSE;FALSE;FALSE;0.8641892446616528;0.9273622616414381;0.9999999999453446;-0.13017560619544152;No;-1.8593716994421938;21;high_low;CD4after_48
Roseburia;1;FALSE;FALSE;FALSE;FALSE;0.7015041771937424;0.8363921156116338;0.9977870698351812;-0.0226579890819406;No;-1.8593716994421938;21;high_low;CD4after_48
Oscillibacter;18;FALSE;FALSE;FALSE;FALSE;0.12401357165957708;0.03185519574647462;3.567748494568767e-15;0.6630940784062276;No;-1.8593716994421938;21;high_low;CD4after_48
Agathobaculum;0;FALSE;FALSE;FALSE;FALSE;0.5151157639097957;0.49126772587431045;0.791412472868662;0.3256445117573936;No;-1.8593716994421938;21;high_low;CD4after_48
Faecalibacterium;0;FALSE;FALSE;FALSE;FALSE;0.8132267167064247;0.9176049189176416;0.9999999998029115;0.33469071711771675;No;-1.8593716994421938;21;high_low;CD4after_48
Flavonifractor;0;FALSE;FALSE;FALSE;FALSE;0.9467839368758812;0.9406367645976361;1;-0.6992741535928053;No;-1.8593716994421938;21;high_low;CD4after_48
Gemmiger;0;FALSE;FALSE;FALSE;FALSE;0.8912387343435026;0.9238126494035085;0.9999999999999987;-0.1858679867564146;No;-1.8593716994421938;21;high_low;CD4after_48
Ruminococcaceae_unclassified;0;FALSE;FALSE;FALSE;FALSE;1;1;1;-0.3212869732562471;No;-1.8593716994421938;21;high_low;CD4after_48
Ruminococcus;0;FALSE;FALSE;FALSE;FALSE;0.782369270897663;0.6639185448179057;0.9999999992241632;0.42100195188777945;No;-1.8593716994421938;21;high_low;CD4after_48
Ruthenibacterium;0;FALSE;FALSE;FALSE;FALSE;0.9693935074383678;0.9599558251166592;0.9999999999999999;-0.9171722608776649;No;-1.8593716994421938;21;high_low;CD4after_48
Holdemanella;0;FALSE;FALSE;FALSE;FALSE;0.3670465588633265;0.3461955603372299;0.09066480530150084;-0.10833696969771131;No;-1.8593716994421938;21;high_low;CD4after_48
Firmicutes_unclassified;0;FALSE;FALSE;FALSE;FALSE;0.9166740562238335;0.9592422315157374;1;0.6873098692141802;No;-1.8593716994421938;21;high_low;CD4after_48
Phascolarctobacterium;0;FALSE;FALSE;FALSE;FALSE;0.9002960125309026;0.9559629907021325;0.9999999999999999;0.8856287244143981;No;-1.8593716994421938;21;high_low;CD4after_48
Actinomyces;0;FALSE;FALSE;FALSE;FALSE;0.9604831421507828;1;1;-0.16093420271285325;No;-2.163727496997911;21;high_mid;CD4after_48
Bifidobacterium;0;FALSE;FALSE;FALSE;FALSE;0.45007484140168963;0.408013488029543;0.6878733404175306;-0.2147473222822584;No;-2.163727496997911;21;high_mid;CD4after_48
Collinsella;0;FALSE;FALSE;FALSE;FALSE;0.8318981600352012;0.9875884115887579;0.9999999625021587;-0.0766759452010162;No;-2.163727496997911;21;high_mid;CD4after_48
Enorma;0;FALSE;FALSE;FALSE;FALSE;0.8788894314818776;0.9645866128547712;0.9999999999999996;0.8413810121842121;No;-2.163727496997911;21;high_mid;CD4after_48
Slackia;15;FALSE;FALSE;FALSE;FALSE;0.23576790877272638;0.05311411214213421;2.434489061834734e-9;0.5444866598136551;No;-2.163727496997911;21;high_mid;CD4after_48
Bacteroides;0;FALSE;FALSE;FALSE;FALSE;0.9463266994935915;0.9785970059558783;1;0.103822812055528;No;-2.163727496997911;21;high_mid;CD4after_48
Odoribacter;1;FALSE;FALSE;FALSE;FALSE;0.22896959043388598;0.08984879920340398;4.672937141710085e-6;-0.09360592543206185;No;-2.163727496997911;21;high_mid;CD4after_48
Prevotella;0;FALSE;FALSE;FALSE;FALSE;1;1;1;-0.11397597199866263;No;-2.163727496997911;21;high_mid;CD4after_48
Alistipes;0;FALSE;FALSE;FALSE;FALSE;0.9429980176730774;0.9169836204740895;1;-0.2654754309076649;No;-2.163727496997911;21;high_mid;CD4after_48
Parabacteroides;0;FALSE;FALSE;FALSE;FALSE;0.9640069759691261;0.9876309980458552;1;0.4116282146933985;No;-2.163727496997911;21;high_mid;CD4after_48
