taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6;mean_qval;median_qval;fisher_qval;clr_mean_diff;structural_zero;x_label;y_label;comparison;cat_var
Actinomyces;0;FALSE;FALSE;FALSE;FALSE;0.7259971768862113;0.7415654372183741;0.9999995378579716;-0.3993055087604352;No;-0.947344018459075;21;bellvitge_clinic;center
Bifidobacterium;8;FALSE;FALSE;FALSE;FALSE;0.16131712798029368;0.08831349950400072;1.4042160854369908e-9;-0.947344018459075;No;-0.947344018459075;21;bellvitge_clinic;center
Collinsella;0;FALSE;FALSE;FALSE;FALSE;0.6058932040376959;0.7309102825963054;0.9805815693806949;-0.2305758404219376;No;-0.947344018459075;21;bellvitge_clinic;center
Slackia;0;FALSE;FALSE;FALSE;FALSE;0.6707837651714728;0.83435264758574;0.9993769988840314;-0.0658087727084612;No;-0.947344018459075;21;bellvitge_clinic;center
Bacteroides;0;FALSE;FALSE;FALSE;FALSE;0.9374406110850347;0.9956210372909808;1;-0.20207738530902292;No;-0.947344018459075;21;bellvitge_clinic;center
Odoribacter;0;FALSE;FALSE;FALSE;FALSE;0.4961728900031649;0.4526531267414101;0.6688665025850468;0.06759850587854735;No;-0.947344018459075;21;bellvitge_clinic;center
Prevotella;0;FALSE;FALSE;FALSE;FALSE;0.982359724847599;0.9805171902006939;1;-0.02970419670891724;No;-0.947344018459075;21;bellvitge_clinic;center
Alistipes;0;FALSE;FALSE;FALSE;FALSE;0.8500569493401636;0.8263456723111157;0.9999999999999706;-0.5520556807860825;No;-0.947344018459075;21;bellvitge_clinic;center
Parabacteroides;1;FALSE;FALSE;FALSE;FALSE;0.6703722392311565;0.7030057412328597;0.9989421596835661;-0.23861245442586346;No;-0.947344018459075;21;bellvitge_clinic;center
Lactobacillus;0;FALSE;FALSE;FALSE;FALSE;0.859506597811256;0.8315450403844901;0.9999999999999989;-0.20035744354393778;No;-0.947344018459075;21;bellvitge_clinic;center
Streptococcus;0;FALSE;FALSE;FALSE;FALSE;0.8140206343620016;0.7885840927159862;0.9999999999945501;0.012481075385172619;No;-0.947344018459075;21;bellvitge_clinic;center
Clostridium;1;FALSE;FALSE;FALSE;FALSE;0.2454875097071107;0.20286363094720905;3.8708698952961724e-4;0.4303591239380979;No;-0.947344018459075;21;bellvitge_clinic;center
Eubacterium;0;FALSE;FALSE;FALSE;FALSE;0.6878886143657715;0.7184168001531381;0.9999435597010873;-0.10445603316393667;No;-0.947344018459075;21;bellvitge_clinic;center
Anaerostipes;0;FALSE;FALSE;FALSE;FALSE;0.7950818842518673;0.9220651113061967;0.9999999856451978;0.09003439214191328;No;-0.947344018459075;21;bellvitge_clinic;center
Blautia;1;FALSE;FALSE;FALSE;FALSE;0.41301901063794144;0.42813100422583367;0.1143056665251645;0.3207335642475312;No;-0.947344018459075;21;bellvitge_clinic;center
Coprococcus;0;FALSE;FALSE;FALSE;FALSE;0.5978110644969586;0.6231741191974773;0.9737180612308696;0.015062356211325777;No;-0.947344018459075;21;bellvitge_clinic;center
