taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6;mean_qval;median_qval;fisher_qval;clr_mean_diff;structural_zero;x_label;y_label;comparison;cat_var
Actinomyces;0;FALSE;FALSE;FALSE;FALSE;0.8023603095835401;0.8636416215363585;0.9999999997804985;0.9339871436333598;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Bifidobacterium;0;FALSE;FALSE;FALSE;FALSE;0.7741678773778127;0.7002221462747779;0.999999978544438;-1.0606549531114218;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Collinsella;0;FALSE;FALSE;FALSE;FALSE;0.8931121190521244;0.8668945089997723;1;-0.240250075145158;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Eggerthella;0;FALSE;FALSE;FALSE;FALSE;0.9435155286334961;0.9356117566643883;1;0.5734594335613783;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Gordonibacter;0;FALSE;FALSE;FALSE;FALSE;0.7399303313486187;0.7406537734711109;0.9999998068666119;-0.832121884950444;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Bacteroides;0;FALSE;FALSE;FALSE;FALSE;0.7359654017046715;0.9004979982423592;0.9999902928050152;-0.7399141135601333;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Odoribacter;0;FALSE;FALSE;FALSE;FALSE;0.9025680709511589;1;0.9999999999999999;1.5245796596657675;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Alistipes;0;FALSE;FALSE;FALSE;FALSE;0.9151304821056306;0.9273524106485741;1;2.89023397048431;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Parabacteroides;0;FALSE;FALSE;FALSE;FALSE;0.6518368034828346;0.6590326082586144;0.9991746768504063;1.0583916943033165;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Streptococcus;0;FALSE;FALSE;FALSE;FALSE;0.9846701795409706;1;1;1.2580191274989472;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Eubacterium;0;FALSE;FALSE;FALSE;FALSE;0.7398319549053669;0.8196985971422062;0.9999997735059528;-0.8889373902175075;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Anaerostipes;0;FALSE;FALSE;FALSE;FALSE;0.73044907424872485;0.8196985971422062;0.9999983609730354;0.6528109649294218;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Blautia;0;FALSE;FALSE;FALSE;FALSE;0.708036808269282;0.8212684822103106;0.9999485695276125;-0.09577356577176084;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
Coprococcus;0;FALSE;FALSE;FALSE;FALSE;0.8401841381293456;0.897690867484918;0.9999999999996119;2.3408144598281453;No;-3.0484139965528643;19.599999999999998;asian_black;ethnic_group
