taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6;mean_qval;median_qval;fisher_qval;clr_mean_diff;structural_zero;x_label;y_label;comparison;cat_var
Collinsella_aerofaciens;0;FALSE;FALSE;FALSE;FALSE;0.9459947632330953;0.9359994494106266;1;-0.05500249999139897;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Collinsella_stercoris;0;FALSE;FALSE;FALSE;FALSE;0.8399220546318068;0.8720002447803593;0.9999999999999993;0.18580400757329338;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Collinsella_massiliensis;0;FALSE;FALSE;FALSE;FALSE;0.6939161166334243;0.7195946702506247;0.9999992428577439;0.44878096444698307;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Slackia_isoflavoniconvertens;2;FALSE;FALSE;FALSE;FALSE;0.4698943297568774;0.42257027388586565;0.5678959844305393;-0.13413724525926163;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Bacteroides_uniformis;0;FALSE;FALSE;FALSE;FALSE;0.9573735660618766;0.9207670106735755;1;-0.3808690512963063;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Bacteroides_vulgatus;0;FALSE;FALSE;FALSE;FALSE;0.943059703823959;1;1;-0.23533659983068356;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Odoribacter_splanchnicus;0;FALSE;FALSE;FALSE;FALSE;0.8667455305446021;0.8560804326154318;1;-0.06293708373279476;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Prevotella_copri;0;FALSE;FALSE;FALSE;FALSE;0.8424962025924526;0.8144769957970428;0.9999999999999999;0.21524116073232827;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Parabacteroides_distasonis;0;FALSE;FALSE;FALSE;FALSE;0.7335477045289035;0.6370511496852903;0.999999944262862;-0.21227450154813784;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Streptococcus_parasanguinis;0;FALSE;FALSE;FALSE;FALSE;0.9779249393404964;1;1;-0.23798124091542153;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Streptococcus_salivarius;0;FALSE;FALSE;FALSE;FALSE;0.7741727615276961;0.8441180862254101;0.9999999997730787;-0.023119927367952788;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Eubacterium_eligens;0;FALSE;FALSE;FALSE;FALSE;0.7020322222809042;0.6993143199326521;0.9999995295746017;-0.05982563568034027;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Eubacterium_hallii;0;FALSE;FALSE;FALSE;FALSE;0.8214281423961928;0.794953791006848;0.9999999999999909;0.049129074933887906;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Eubacterium_ramulus;0;FALSE;FALSE;FALSE;FALSE;0.9388280699571511;0.903083026955793;1;-0.07624757654487906;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Anaerostipes_hadrus;0;FALSE;FALSE;FALSE;FALSE;0.48687310184135574;0.3721792954625918;0.6957001783851124;-0.33984018540177374;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Blautia_obeum;0;FALSE;FALSE;FALSE;FALSE;0.6632211505569957;0.629837773720931;0.9999840288222468;-0.38939251135440023;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Blautia_wexlerae;2;FALSE;FALSE;FALSE;FALSE;0.3626313305666849;0.22455725223495482;0.01177704247141076;-0.3795296678060573;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Ruminococcus_torques;0;FALSE;FALSE;FALSE;FALSE;0.9289264557194015;0.9421003067073362;1;0.1096026854490378;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Coprococcus_catus;1;FALSE;FALSE;FALSE;FALSE;0.37009636757529774;0.16717935611967205;0.015011729831192117;-0.3034217490211613;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Coprococcus_comes;0;FALSE;FALSE;FALSE;FALSE;0.8679734385976733;0.8670462515386236;1;0.028467121766884266;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
Dorea_formicigenerans;0;FALSE;FALSE;FALSE;FALSE;0.644968152017562;0.632838070469169;0.9998266964919248;0.2187555413091348;No;-0.38939251135440023;25.2;<50_>50;CD8diff_48
