Species	otu	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison	variable	significant
Eubacterium_sp_CAG_251	Otu_325	30392.051062367766	-28.755437357534966	2.5342355341577494	2.9415620663081627e-30	1.0148389128763161e-27	high_vs_low	CD4after_48	yes
Butyricimonas_synergistica	Otu_117	935.9909773135464	-27.62289414353269	2.529220711056449	3.7447023806404787e-28	6.459611606604826e-26	high_vs_low	CD4after_48	yes
Acidaminococcus_intestini	Otu_461	40011.6422580571	-28.790109515002403	2.653520695865543	7.610101897604737e-28	8.751617182245447e-26	high_vs_low	CD4after_48	yes
Veillonella_parvula	Otu_487	998.8348883243588	-27.82293398897184	2.8770398092828544	1.6226466665689826e-22	1.3995327499157474e-20	high_vs_low	CD4after_48	yes
Enterococcus_faecium	Otu_184	2867.1372557339096	-28.784019601274455	3.0266905942058813	7.205342119603776e-22	4.9716860625266057e-20	high_vs_low	CD4after_48	yes
Streptococcus_australis	Otu_248	285.9323803186339	-24.942733448274634	2.7770461846375154	1.285901754654738e-19	7.393935089264744e-18	high_vs_low	CD4after_48	yes
Bacteroides_galacturonicus	Otu_98	463.2835645370631	-25.78080367762255	2.9997918334420155	3.8372930063129194e-18	1.8912372673970816e-16	high_vs_low	CD4after_48	yes
Ruminococcus_lactaris	Otu_426	4539.330904302362	-28.372010142140724	3.40546728756304	3.082291993517478e-17	1.3292384222044124e-15	high_vs_low	CD4after_48	yes
Bacteroides_cellulosilyticus	Otu_87	1850.6303518275872	-27.625802388615057	3.4041929085171803	1.9628646526846707e-16	7.524314501957904e-15	high_vs_low	CD4after_48	yes
Ruminococcus_callidus	Otu_424	1321.6274753391463	-24.922586392422936	3.0998335791009564	4.3180507240204814e-16	1.489727499787066e-14	high_vs_low	CD4after_48	yes
Parabacteroides_sp_CAG_409	Otu_158	969.5094313575795	-27.587562174163743	3.4710831790435117	7.691784711349092e-16	2.4124233867413062e-14	high_vs_low	CD4after_48	yes
Hungatella_hathewayi	Otu_302	360.80447826746644	-24.930907229164195	3.2242448335968836	5.0610962967384996e-15	1.4550651853123187e-13	high_vs_low	CD4after_48	yes
Methanosphaera_stadtmanae	Otu_3	2443.5005919321657	-28.798604822879234	3.7904692854893165	1.1194813025876345e-14	2.970931149174876e-13	high_vs_low	CD4after_48	yes
Bacteroides_finegoldii	Otu_96	1444.6695384042132	-26.99641632402048	3.5659794843715407	1.560742877833202e-14	3.8461163775175336e-13	high_vs_low	CD4after_48	yes
Actinobaculum_sp_oral_taxon_183	Otu_4	186.5180626562875	-24.3447765320064	3.3049757279891994	8.696280775463846e-14	2.0001445783566846e-12	high_vs_low	CD4after_48	yes
Parasutterella_excrementihominis	Otu_516	746.3132522320053	-25.47267623525714	3.6112378161713954	8.025900184687201e-13	1.730584727323178e-11	high_vs_low	CD4after_48	yes
Streptococcus_sp_A12	Otu_268	70.28760135008653	-21.897104982985784	3.207237716458739	4.891429132215406e-12	9.926723827143029e-11	high_vs_low	CD4after_48	yes
Actinomyces_naeslundii	Otu_9	190.97845394145548	-21.879656825859772	3.2841141612919125	1.5248627299345786e-11	2.922653565707942e-10	high_vs_low	CD4after_48	yes
Brachyspira_sp_CAG_700	Otu_573	1374.0365709075104	-28.031543194927536	4.291026354565939	2.4921807885605344e-11	4.5252756423862336e-10	high_vs_low	CD4after_48	yes
Firmicutes_bacterium_CAG_145	Otu_449	138.36919263849936	-24.885606595461795	3.8038209652437693	2.878846860573936e-11	4.96601083449004e-10	high_vs_low	CD4after_48	yes
Acidaminococcus_fermentans	Otu_460	9018.7718547191	-28.657958221539296	4.435093908999658	3.812098600998847e-11	6.262733415926677e-10	high_vs_low	CD4after_48	yes
Haemophilus_parainfluenzae	Otu_564	181.89930163430012	-25.272798602398133	4.0598883626656965	2.2233522845281293e-10	3.486620628010021e-9	high_vs_low	CD4after_48	yes
Actinomyces_turicensis	Otu_23	150.48826540731676	-23.62032714505909	3.815363072918589	3.0553169188423654e-10	4.582975378263548e-9	high_vs_low	CD4after_48	yes
Klebsiella_pneumoniae	Otu_554	1319.340309738037	-27.193394327714476	4.42596471456671	3.2643041315008047e-10	4.692437189032407e-9	high_vs_low	CD4after_48	yes
Akkermansia_muciniphila	Otu_580	4660.187869159249	-26.657261529344574	4.5006860223307	1.3254720326352176e-9	1.8291514050366005e-8	high_vs_low	CD4after_48	yes
Holdemania_filiformis	Otu_444	137.1362500558612	-25.185887880456924	4.315794077845271	2.4697097004454827e-9	3.277114794821891e-8	high_vs_low	CD4after_48	yes
Enterococcus_faecalis	Otu_183	460.0545142389513	-24.997903338708397	4.396381332766936	6.051758333657925e-9	7.732802315229571e-8	high_vs_low	CD4after_48	yes
Clostridium_aldenense	Otu_361	47.50979478653888	-22.60548584646129	3.9872372746387286	7.700479066986428e-9	9.48809027896542e-8	high_vs_low	CD4after_48	yes
Coprobacter_fastidiosus	Otu_115	268.9968509399259	-25.13147296642327	4.505285216734459	1.1185255140846049e-8	1.330659663307547e-7	high_vs_low	CD4after_48	yes
Blautia_producta	Otu_340	305.7517611863938	-26.057913485274344	4.71133576339721	1.3777518818289277e-08	1.584414664103267e-7	high_vs_low	CD4after_48	yes
