Species	otu	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison	variable	significant
Lactobacillus_paragasseri	Otu_213	907.1374283942691	-29.76562813416876	1.871307455285972	2.1071260809755638e-57	7.332798761794962e-55	dw_50_vs_up_50	CD8diff_48	yes
Lactobacillus_fermentum	Otu_202	711.1655133800892	-29.620661619593267	2.380706194238908	5.7034642215868235e-36	9.924027745561073e-34	dw_50_vs_up_50	CD8diff_48	yes
Lactobacillus_rhamnosus	Otu_219	338.91182860581665	-29.372328077317714	2.4384517357652125	7.674593597717119e-34	8.902528573351857e-32	dw_50_vs_up_50	CD8diff_48	yes
Lactobacillus_vaginalis	Otu_227	140.00708794191064	-28.130090655545306	2.4049435228608145	5.378999367226864e-32	4.6797294494873716e-30	dw_50_vs_up_50	CD8diff_48	yes
Haemophilus_sp_HMSC71H05	Otu_566	57.413848760392526	29.51216958848287	2.69977048125144	3.015405389498923e-28	2.0987221510912503e-26	dw_50_vs_up_50	CD8diff_48	yes
Butyrivibrio_sp_CAG_318	Otu_348	2920.0399979893923	-29.498060590430285	2.738533493004108	1.7346885339782493e-27	1.0061193497073845e-25	dw_50_vs_up_50	CD8diff_48	yes
Bacteroides_coprophilus	Otu_90	215.8973450491702	29.46181666679652	2.83568203082181	1.0216973227185325e-25	5.07929526151499e-24	dw_50_vs_up_50	CD8diff_48	yes
Megamonas_funiformis	Otu_466	499.2235502353979	-29.42713022014621	2.9256364996112407	3.1223296432177826e-24	1.3582133947997355e-22	dw_50_vs_up_50	CD8diff_48	yes
Actinomyces_sp_oral_taxon_181	Otu_19	7.209296330737208	-24.043953435233945	2.467335984206961	1.00203468289541e-22	2.9629387171532265e-21	dw_50_vs_up_50	CD8diff_48	no
Clostridium_sp_CAG_510	Otu_295	136.22500428769578	29.386895236447582	3.0266329396481924	1.0176975665997529e-22	2.9629387171532265e-21	dw_50_vs_up_50	CD8diff_48	yes
Ruminococcus_obeum_CAG_39	Otu_427	20.29006382473453	29.38684670166762	3.026752734881774	1.0217030059149058e-22	2.9629387171532265e-21	dw_50_vs_up_50	CD8diff_48	yes
Phascolarctobacterium_sp_CAG_266	Otu_464	226.54767991571654	29.386898623711183	3.0266245789092614	1.0174185886369086e-22	2.9629387171532265e-21	dw_50_vs_up_50	CD8diff_48	yes
Clostridium_sp_CAG_632	Otu_298	443.17803922635187	-29.384992827209633	3.0313249883523414	1.1865483051943713e-22	3.1762985400587785e-21	dw_50_vs_up_50	CD8diff_48	yes
Bacteroides_pectinophilus	Otu_308	325.60532817735094	-29.110393412224376	3.0313271844158765	2.923084761453403e-22	7.26595354989846e-21	dw_50_vs_up_50	CD8diff_48	yes
Faecalicoccus_pleomorphus	Otu_441	12.561309809007616	28.988082281329024	3.0268392892043705	3.7979837608330304e-22	8.81132232513263e-21	dw_50_vs_up_50	CD8diff_48	yes
Firmicutes_bacterium_CAG_424	Otu_452	285.43161404824053	-28.92998654055686	3.031328349276276	5.2616473158872555e-22	1.1444082912054781e-20	dw_50_vs_up_50	CD8diff_48	yes
Clostridium_perfringens	Otu_287	11.071359570477979	28.816911298228536	3.026869874089262	6.6356444319528155e-22	1.3583554484232822e-20	dw_50_vs_up_50	CD8diff_48	yes
Bifidobacterium_breve	Otu_33	7.245884981041079	28.25293898443309	3.0270059579815203	4.0809409599401935e-21	7.889819189217707e-20	dw_50_vs_up_50	CD8diff_48	no
Solobacterium_moorei	Otu_446	4.1523477053121685	27.503514858615006	3.0272990775261603	4.3313055058310215e-20	7.933127979101028e-19	dw_50_vs_up_50	CD8diff_48	no
Clostridium_sp_CAG_413	Otu_294	84.94055638399024	-27.26552911439038	3.0313506363294938	1.0073501776332761e-19	1.7527893090819003e-18	dw_50_vs_up_50	CD8diff_48	yes
Eubacterium_sp_An11	Otu_323	3.0455841091300093	27.08842161046995	3.0275481708390406	1.56352222927092e-19	2.590979694220382e-18	dw_50_vs_up_50	CD8diff_48	no
Eubacterium_sp_CAG_274	Otu_326	73.75787108478566	-27.065107648367228	3.031355444236917	1.858105974674494e-19	2.9391858144851086e-18	dw_50_vs_up_50	CD8diff_48	yes
Firmicutes_bacterium_CAG_534	Otu_453	43.37072998417753	-26.34009149931176	3.031381046744829	1.6405649584736562e-18	2.48224611108188e-17	dw_50_vs_up_50	CD8diff_48	yes
Megamonas_hypermegale	Otu_468	40.80517541408724	-26.258338743916646	3.031384944806393	2.0897407063282916e-18	3.030124024176023e-17	dw_50_vs_up_50	CD8diff_48	yes
Enterococcus_avium	Otu_180	34.2230362143479	-25.966065023285804	3.031397638442447	4.9341050773084685e-18	6.868274267613388e-17	dw_50_vs_up_50	CD8diff_48	yes
Anaerotruncus_sp_CAG_528	Otu_408	31.840072802797092	-25.917776611411163	3.031403545120623	5.682000128308453e-18	7.605138633274391e-17	dw_50_vs_up_50	CD8diff_48	yes
Harryflintia_acetispora	Otu_414	25.017867684816732	-25.58536073216185	3.0293227705320933	1.4172913336318174e-17	1.8267310522365646e-16	dw_50_vs_up_50	CD8diff_48	yes
Bacteroides_faecis_CAG_32	Otu_95	26.869161573549366	-25.562695547170325	3.0314191961452135	1.5903599379412483e-17	1.976590208584123e-16	dw_50_vs_up_50	CD8diff_48	yes
Anaerococcus_vaginalis	Otu_494	24.885050620216298	-25.504740236921414	3.0314271746015415	1.87904523736136e-17	2.254854284833632e-16	dw_50_vs_up_50	CD8diff_48	yes
Ruminococcus_sp_CAG_403	Otu_429	21.91050729728463	-25.35652163105514	3.03144191580975	2.873531266375383e-17	3.333296268995444e-16	dw_50_vs_up_50	CD8diff_48	yes
Ruminococcus_sp_CAG_563	Otu_431	20.232602228479884	-25.287638682949254	3.03145208414534	3.498054508472932e-17	3.9268482869309046e-16	dw_50_vs_up_50	CD8diff_48	yes
Cloacibacillus_porcorum	Otu_576	17.15432155152537	-25.04552419676094	3.0314759315904083	6.952074141483013e-17	7.560380628862777e-16	dw_50_vs_up_50	CD8diff_48	yes
Lachnoclostridium_sp_An118	Otu_371	12.371936640010867	-24.5891573247711	3.0315365737384052	2.494030760003645e-16	2.630068801458389e-15	dw_50_vs_up_50	CD8diff_48	yes
Alistipes_onderdonkii	Otu_148	10.32538089843675	-24.363455696267568	3.0315799125970013	4.652913957715377e-16	4.762394286132209e-15	dw_50_vs_up_50	CD8diff_48	yes
Enterococcus_gallinarum	Otu_185	8.601638419065432	-23.918621598797998	3.031631818141133	1.563321143701657e-15	1.5543878800233618e-14	dw_50_vs_up_50	CD8diff_48	no
Megasphaera_micronuciformis	Otu_481	7.752944870955319	-23.89682953386576	3.031666058412753	1.659113121417726e-15	1.6038093507038015e-14	dw_50_vs_up_50	CD8diff_48	no
Butyricicoccus_pullicaecorum	Otu_278	6.423967410323748	-23.71331744218711	3.0317377496734634	2.7196069331409047e-15	2.5579005749541483e-14	dw_50_vs_up_50	CD8diff_48	no
Parvimonas_sp_KA00067	Otu_497	7.548003825048205	-23.38177325223235	3.0316755947416016	6.553966032114439e-15	6.002053103094275e-14	dw_50_vs_up_50	CD8diff_48	no
Peptoniphilus_harei	Otu_501	4.474753989056014	-23.22695080880799	3.031918805745397	9.895399322348143e-15	8.829740933787575e-14	dw_50_vs_up_50	CD8diff_48	no
Lactobacillus_ultunensis	Otu_226	4.087620333638395	-23.091879455406005	3.031972048686474	1.4100016588991226e-14	1.2267014432422367e-13	dw_50_vs_up_50	CD8diff_48	no
Anaerofustis_stercorihominis	Otu_314	3.39694840599494	-22.850100838869338	3.0320929333992503	2.6455764860598434e-14	2.2455137003629892e-13	dw_50_vs_up_50	CD8diff_48	no
