Species	otu	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison	variable	significant
Enterococcus_faecalis	Otu_183	543.1069274718888	-27.209503983874015	2.6319101655906576	2.0039227771022955e-25	7.013729719858034e-23	bellvitge_vs_clinic	center	yes
Firmicutes_bacterium_CAG_238	Otu_451	426.0835849641226	-29.078881283908515	2.893798505104826	3.479543829081494e-24	6.089201700892615e-22	bellvitge_vs_clinic	center	yes
Dielma_fastidiosa	Otu_436	43.42443682206961	-25.343938658169783	2.5906737944905345	6.337830815005414e-23	7.39413595083965e-21	bellvitge_vs_clinic	center	yes
Brachyspira_pilosicoli	Otu_572	385.5724155840099	-27.910392743297724	3.1549696807410053	3.626795379370336e-19	3.1734459569490443e-17	bellvitge_vs_clinic	center	yes
Dorea_sp_CAG_317	Otu_354	177.59463686292227	-26.503274086930872	3.1668518751243657	2.549793965090126e-17	1.784855775563088e-15	bellvitge_vs_clinic	center	yes
Bacteroides_coprocola	Otu_89	957.2241289896231	-28.962308001330108	3.910529141825347	4.78152214205349e-14	1.1885052020720679e-12	bellvitge_vs_clinic	center	yes
Bacteroides_coprophilus	Otu_90	801.1695147059969	28.96527532617298	3.9049339759279715	4.388272959153961e-14	1.1885052020720679e-12	bellvitge_vs_clinic	center	yes
Bacteroides_faecis_CAG_32	Otu_95	12.6291172390106	28.965183737764704	3.9051067942577014	4.399944971941689e-14	1.1885052020720679e-12	bellvitge_vs_clinic	center	yes
Bacteroides_nordii	Otu_101	14.92961188180259	28.89301614600556	3.9050967432942447	5.081752143905801e-14	1.1885052020720679e-12	bellvitge_vs_clinic	center	yes
Prevotella_sp_CAG_873	Otu_142	1129.1182380770583	-28.962308191965796	3.910528782621223	4.781495852961451e-14	1.1885052020720679e-12	bellvitge_vs_clinic	center	yes
Lactobacillus_mucosae	Otu_209	87.64040805151016	28.965262111518623	3.9049589111547975	4.3899552456853136e-14	1.1885052020720679e-12	bellvitge_vs_clinic	center	yes
Clostridium_sp_CAG_510	Otu_295	464.57635260437445	-28.96230694048992	3.910531140706257	4.781668436782811e-14	1.1885052020720679e-12	bellvitge_vs_clinic	center	yes
Eubacterium_coprostanoligenes	Otu_317	197.26636089591562	28.952070165410582	3.905110378485927	4.517112859065881e-14	1.1885052020720679e-12	bellvitge_vs_clinic	center	yes
Ruminococcus_sp_CAG_563	Otu_431	13.292738649714215	28.892412059984142	3.9051755364561935	5.093593723166005e-14	1.1885052020720679e-12	bellvitge_vs_clinic	center	yes
Dialister_sp_CAG_357	Otu_477	215.8219056864047	28.965271748643985	3.904940726517296	4.388728335672989e-14	1.1885052020720679e-12	bellvitge_vs_clinic	center	yes
Eubacterium_sp_CAG_274	Otu_326	896.6885183901968	-28.05858834726765	3.9105309084145508	2.8237817960131637e-13	6.1770226787787955e-12	bellvitge_vs_clinic	center	yes
Firmicutes_bacterium_CAG_534	Otu_453	99.07885274422313	-27.916652609223462	3.910545929754164	3.7145138977883537e-13	7.64752861309367e-12	bellvitge_vs_clinic	center	yes
Leuconostoc_citreum	Otu_232	1.630686880718638	27.69114174534436	3.909262291525192	5.629537386921366e-13	1.0946322696791544e-11	bellvitge_vs_clinic	center	no
Roseburia_sp_CAG_182	Otu_384	117.73336295477084	-27.312597411352044	3.910545267020626	1.174245731573167e-12	2.1630842423716236e-11	bellvitge_vs_clinic	center	yes
Megamonas_hypermegale	Otu_468	247.42976412447035	-27.24527982751384	3.910536036821086	1.332788145868698e-12	2.3323792552702215e-11	bellvitge_vs_clinic	center	yes
Blautia_sp_N6H1_15	Otu_343	43.711163353209486	-26.53803568249652	3.9105699062360713	4.959265466685383e-12	8.265442444475639e-11	bellvitge_vs_clinic	center	yes
Lachnoclostridium_sp_An138	Otu_373	22.009901370086983	-23.87897921313219	3.512475936440306	5.378006874676939e-12	8.55592002789513e-11	bellvitge_vs_clinic	center	yes
Weissella_cibaria	Otu_239	164.45134507194325	-26.37941383769078	3.9105396475657717	6.625590798960619e-12	1.0082420781027029e-10	bellvitge_vs_clinic	center	yes
