Species	otu	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison	variable	significant
Parabacteroides_merdae	Otu_157	68183.39295430422	-29.33604116257576	3.056587259989284	3.0092515986719184e-22	9.479142535816543e-20	asian_vs_black	ethnic_group	yes
Oscillibacter_sp_CAG_241	Otu_394	43760.296872411796	-28.658167507405388	3.0376181721999136	1.5139804017122341e-21	2.384519132696769e-19	asian_vs_black	ethnic_group	yes
Prevotella_sp_CAG_279	Otu_139	56536.44553283044	-28.149775705874827	3.2873124315754954	4.3495629099896425e-18	4.567041055489124e-16	asian_vs_black	ethnic_group	yes
Prevotella_stercorea	Otu_143	80211.04932437811	-27.29607510512096	3.253306334264368	2.0305359018084282e-17	1.5990470226741373e-15	asian_vs_black	ethnic_group	yes
Phascolarctobacterium_succinatutens	Otu_465	135345.14709814722	-27.736681087571426	3.3531817855401007	5.3622226602673323e-17	3.3782002759684194e-15	asian_vs_black	ethnic_group	yes
Intestinibacter_bartlettii	Otu_396	8624.861745606038	-28.22544139137637	3.5048592830957404	3.1630035196536704e-16	1.660576847818177e-14	asian_vs_black	ethnic_group	yes
Eubacterium_sp_CAG_180	Otu_324	104360.75455738725	-27.854760941878943	3.4869555164886408	5.500560146633108e-16	2.475252065984899e-14	asian_vs_black	ethnic_group	yes
Alistipes_putredinis	Otu_149	22956.730907027442	-26.884360831669103	3.8011541679781256	6.451089592077839e-13	2.540116526880649e-11	asian_vs_black	ethnic_group	yes
Clostridium_leptum	Otu_417	2281.6151215587893	-22.81448421034222	3.227358989549212	8.462296735448768e-13	2.961803857407069e-11	asian_vs_black	ethnic_group	yes
Bacteroides_dorei	Otu_91	70547.27114760058	-28.852166041964455	4.122652579738747	9.587659976356822e-13	3.020112892552399e-11	asian_vs_black	ethnic_group	yes
Prevotella_sp_885	Otu_135	108574.76969462632	-26.00728283105438	3.8736883696816844	8.480772642369003e-12	2.428584893042033e-10	asian_vs_black	ethnic_group	yes
Prevotella_sp_CAG_520	Otu_140	163700.22354193195	-22.66019997156943	3.608252247300369	1.8390699468665377e-10	4.827558610524662e-9	asian_vs_black	ethnic_group	yes
Prevotella_sp_CAG_1092	Otu_137	33205.570013577046	-23.56597694101626	3.8178806620348182	3.4658014390413704e-10	8.397903486907935e-9	asian_vs_black	ethnic_group	yes
Firmicutes_bacterium_CAG_791	Otu_456	28468.799156831315	-28.281796130191466	4.635857192837055	4.005302153335136e-10	9.011929845004056e-9	asian_vs_black	ethnic_group	yes
Paraprevotella_xylaniphila	Otu_126	5520.9965809121095	-24.716590560522544	4.053286750235748	5.168213203870488e-10	1.0853247728128026e-8	asian_vs_black	ethnic_group	yes
Bacteroides_sp_CAG_530	Otu_107	18771.69733153571	-23.255884639154395	3.8737009892791945	1.0115112820498498e-9	1.991412836535642e-8	asian_vs_black	ethnic_group	yes
Desulfovibrio_piger	Otu_524	25623.408886426365	-24.51846530133295	4.148207752582233	1.6543922266743383e-9	3.065491478837745e-8	asian_vs_black	ethnic_group	yes
Streptococcus_anginosus_group	Otu_247	904.2507981715717	-24.165103363251138	4.151748987112767	2.9062120416669447e-9	5.0858710729171535e-8	asian_vs_black	ethnic_group	yes
Firmicutes_bacterium_CAG_110	Otu_448	9765.489752319343	-23.339218313727134	4.0442587255506925	4.096407163672202e-9	6.79141187661444e-8	asian_vs_black	ethnic_group	yes
