Species	otu	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison	variable	significant
Phascolarctobacterium_succinatutens	Otu_465	134295.02921513087	-29.93132521796314	1.0143674497244615	8.516809855996747e-192	2.997917069310855e-189	female_vs_male	gender	yes
Prevotella_sp_CAG_520	Otu_140	166192.1727655345	-29.916767746292102	1.1167153526892002	1.5562970972977644e-158	2.739082891244065e-156	female_vs_male	gender	yes
Mitsuokella_jalaludinii	Otu_469	4984.894830473366	-29.893938920874493	1.2605923884910266	9.473594335267644e-125	1.1115684020047368e-122	female_vs_male	gender	yes
Desulfovibrio_piger	Otu_524	25660.140733950866	-29.88877952120977	1.2908894155686745	4.919389103287395e-119	4.3290624108929076e-117	female_vs_male	gender	yes
Mitsuokella_multacida	Otu_470	1913.8943946406125	-29.884160515678026	1.317422169629818	2.3830663424508528e-114	1.6776787050854005e-112	female_vs_male	gender	yes
Firmicutes_bacterium_CAG_95	Otu_459	2723.7122092630675	-29.84174072193181	1.5398600430425105	4.23421647483135e-84	2.484073665234392e-82	female_vs_male	gender	yes
Prevotella_sp_CAG_5226	Otu_141	66257.05558486302	-29.83421565307846	1.5760443018199637	2.3876883454111064e-80	1.2006661394067276e-78	female_vs_male	gender	yes
Lactobacillus_ruminis	Otu_221	24796.615220070173	-29.686659164265947	2.1667318057649996	3.692703709117358e-43	1.4442574506770113e-41	female_vs_male	gender	yes
Coprococcus_eutactus	Otu_351	28605.101519458436	-29.68682911337012	2.1661441324849346	3.504582034072659e-43	1.4442574506770113e-41	female_vs_male	gender	yes
Ruminococcus_sp_CAG_330	Otu_428	4977.665768027721	-29.647242751393904	2.298977034975869	1.7559874799437153e-38	6.1810759294018786e-37	female_vs_male	gender	yes
Methanosphaera_stadtmanae	Otu_3	2582.964015929678	-29.630806982449638	2.3519246241003553	7.953207527268598e-37	2.5450264087259513e-35	female_vs_male	gender	yes
Brachyspira_sp_CAG_700	Otu_573	2339.065564426414	-29.558892184301776	2.570804409437388	5.00279547265279e-31	1.4674866719781517e-29	female_vs_male	gender	yes
Eubacterium_limosum	Otu_321	181.6983830402761	-28.568750612327612	2.5431866767356217	1.1041317117409979e-29	2.98964894256024e-28	female_vs_male	gender	yes
Acidaminococcus_fermentans	Otu_460	9321.95674494885	-29.506818865726018	2.718315661362033	7.0097354698023815e-28	1.7624477752645987e-26	female_vs_male	gender	yes
Atopobium_deltae	Otu_66	36.5521761558173	-29.474496954368387	2.8059781082952755	3.063618134723238e-26	7.189290556150531e-25	female_vs_male	gender	yes
Clostridium_asparagiforme	Otu_362	135.9437064328419	-28.08098198840192	2.7754463391905935	1.874072849143266e-24	4.122960268115185e-23	female_vs_male	gender	yes
Klebsiella_pneumoniae	Otu_554	1607.0540087344132	-29.41964678247734	2.948783297837557	7.140485773186651e-24	1.4785005836245303e-22	female_vs_male	gender	yes
Roseburia_sp_CAG_471	Otu_387	33880.39135311065	-8.70315362228517	0.8855152659107648	7.776103896952728e-23	1.5206603176263114e-21	female_vs_male	gender	yes
Firmicutes_bacterium_CAG_238	Otu_451	228.25900304150545	-28.66000176586835	3.1021403040665185	9.697364978059243e-21	1.7965644590930807e-19	female_vs_male	gender	yes
Klebsiella_variicola	Otu_556	560.859431720521	-29.285532718412007	3.271808169280699	1.3117199486938066e-19	2.3086271097011e-18	female_vs_male	gender	yes
Brachyspira_pilosicoli	Otu_572	385.5724155840099	-29.24975367496908	3.352730135997594	9.979664814676022e-19	1.6727819117933143e-17	female_vs_male	gender	yes
Butyrivibrio_crossotus	Otu_347	3946.7617740640117	-29.244890563503265	3.363578815467645	1.2956593728382638e-18	2.073054996541222e-17	female_vs_male	gender	yes
