Species	otu	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison	variable	significant
Megamonas_hypermegale	Otu_468	446.44687286926495	-29.82748451878851	2.2684141696539997	1.0422750879262558e-39	3.6583855586211577e-37	DTG_vs_RTVr	group	yes
Megamonas_funiformis	Otu_466	446.4017864740355	-29.531130679748248	2.378722452162605	1.3277377377534147e-35	2.3301797297572426e-33	DTG_vs_RTVr	group	yes
Bacteroides_coprocola	Otu_89	1479.7034943868996	-29.78579197528165	2.527703808021601	2.863643316786189e-32	3.3504626806398414e-30	DTG_vs_RTVr	group	yes
Clostridium_sp_CAG_510	Otu_295	668.0313862255989	29.72129597487471	2.8832342941128766	3.9085743740372777e-25	1.9634389715208573e-23	DTG_vs_RTVr	group	yes
Bacteroides_pectinophilus	Otu_308	587.3743866930421	-29.721423211415175	2.882576078581046	3.8122604277404993e-25	1.9634389715208573e-23	DTG_vs_RTVr	group	yes
Dialister_sp_CAG_357	Otu_477	449.3331331994942	29.721295650501496	2.88323597195679	3.9088228845929915e-25	1.9634389715208573e-23	DTG_vs_RTVr	group	yes
Anaerococcus_vaginalis	Otu_494	44.75434061656044	29.72128669458395	2.8832822967024283	3.915690256594302e-25	1.9634389715208573e-23	DTG_vs_RTVr	group	yes
Clostridium_perfringens	Otu_287	17.27072435874026	29.180669254830647	2.8833641520963766	2.7635918427877875e-24	1.2125259210231418e-22	DTG_vs_RTVr	group	yes
Gardnerella_vaginalis	Otu_44	14.443823738312197	28.940705663784925	2.88339024065851	6.502647544406797e-24	2.5360325423186508e-22	DTG_vs_RTVr	group	yes
Cloacibacillus_evryensis	Otu_575	13.971558652632687	28.8972122310498	2.8833956379858896	7.588090659660664e-24	2.663419821540893e-22	DTG_vs_RTVr	group	yes
Flavonifractor_sp_An10	Otu_411	13.572501901521074	28.856274568175827	2.883400451001172	8.77284513287562e-24	2.799335128763039e-22	DTG_vs_RTVr	group	yes
