Species	otu	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison	variable	significant
Brachyspira_sp_CAG_700	Otu_573	5048.050366436458	-29.85945810351879	1.4502340663776148	1.2564240217766128e-94	3.631065422934411e-92	hts_vs_msm	risk_group	yes
Butyrivibrio_sp_CAG_318	Otu_348	12956.75693124697	-29.803804487370208	1.713482734744875	3.391094182218396e-68	4.900131093305582e-66	hts_vs_msm	risk_group	yes
Ruminococcaceae_bacterium_D16	Otu_420	446.9562962728778	29.767781028394044	1.8641636982586773	7.81231874540151e-58	7.525867058070121e-56	hts_vs_msm	risk_group	yes
Butyrivibrio_crossotus	Otu_347	7332.887288962646	-29.759981439084232	1.8952111881978162	5.338840630886572e-56	3.8573123558155483e-54	hts_vs_msm	risk_group	yes
Clostridium_sp_CAG_299	Otu_292	235.59651553442026	29.673075924868172	2.2118651689331994	1.8127821670500986e-41	1.047788092554957e-39	hts_vs_msm	risk_group	yes
Brachyspira_pilosicoli	Otu_572	330.84255058496984	-29.65067325130087	2.286394246935765	6.83210877699633e-39	3.290799060919899e-37	hts_vs_msm	risk_group	yes
Clostridium_sp_CAG_590	Otu_297	717.0039056233373	-29.570840589181543	2.534221190053196	6.81727194598463e-32	2.8145594176993687e-30	hts_vs_msm	risk_group	yes
Sanguibacteroides_justesenii	Otu_124	106.7378230389078	29.52102376350646	2.672082361717483	8.29918598271881e-29	2.99808093625717e-27	hts_vs_msm	risk_group	yes
Bacteroides_nordii	Otu_101	39.44186266321938	29.042046709981978	2.661772476670046	3.9104926175750924e-28	1.2557026294213353e-26	hts_vs_msm	risk_group	yes
Bacteroides_coprophilus	Otu_90	176.5968847256699	29.430207781251827	2.9200712932063726	2.5459107663834804e-24	4.10709808324546e-23	hts_vs_msm	risk_group	yes
Prevotella_sp_CAG_873	Otu_142	1257.238308697268	-29.429600369283207	2.9216273111268554	2.6945214611483667e-24	4.10709808324546e-23	hts_vs_msm	risk_group	yes
Clostridium_sp_CAG_413	Otu_294	826.1871595440025	-29.429599889960222	2.9216285386897276	2.6946419660663457e-24	4.10709808324546e-23	hts_vs_msm	risk_group	yes
Clostridium_sp_CAG_510	Otu_295	887.490555130544	-29.429599986549395	2.921628291321544	2.6946176825029395e-24	4.10709808324546e-23	hts_vs_msm	risk_group	yes
Bacteroides_pectinophilus	Otu_308	583.0649181720572	-29.429599307156234	2.921630031270391	2.694788493771163e-24	4.10709808324546e-23	hts_vs_msm	risk_group	yes
Eubacterium_coprostanoligenes	Otu_317	49.43408306047626	-29.42957793047487	2.921684777144547	2.7001682900229667e-24	4.10709808324546e-23	hts_vs_msm	risk_group	yes
Anaerotruncus_sp_CAG_528	Otu_408	86.7116536628445	-29.429587971715037	2.9216590615654896	2.6976399591738578e-24	4.10709808324546e-23	hts_vs_msm	risk_group	yes
Ruminococcus_sp_CAG_403	Otu_429	56.75510871950646	-29.42958094294808	2.9216770622355304	2.6994095258842404e-24	4.10709808324546e-23	hts_vs_msm	risk_group	yes
Faecalitalea_cylindroides	Otu_442	100.133149724564	29.42694178897759	2.920077447579793	2.5761692621524043e-24	4.10709808324546e-23	hts_vs_msm	risk_group	yes
Fusobacterium_mortiferum	Otu_507	134.1385532253681	-29.434333639322837	2.909479986299641	1.7262039278860744e-24	4.10709808324546e-23	hts_vs_msm	risk_group	yes
Anaerofustis_stercorihominis	Otu_314	4.919155256034403	29.37444209675169	2.9203519618099474	3.133589367329777e-24	4.5280366357915276e-23	hts_vs_msm	risk_group	no
Lactobacillus_curvatus	Otu_198	4.604440284966484	29.172242820855097	2.920371773140864	6.405236335588073e-24	8.814825242785492e-23	hts_vs_msm	risk_group	no
Firmicutes_bacterium_CAG_534	Otu_453	37.26965241029526	-29.112012879199145	2.9217043033452272	8.28683757840018e-24	1.088589118253478e-22	hts_vs_msm	risk_group	yes
Faecalicoccus_pleomorphus	Otu_441	11.68270366409599	28.872665474743865	2.9201848476060257	1.8176325856705796e-23	2.283894857646946e-22	hts_vs_msm	risk_group	yes
Clostridium_sp_CAG_253	Otu_291	11.600725582698002	-27.546612119999324	2.921879825420288	1.754559587185387e-21	2.0466796265754005e-20	hts_vs_msm	risk_group	yes
Lachnoclostridium_sp_An118	Otu_371	24.494876391571008	27.527637846071347	2.920121257979927	1.7704841060340833e-21	2.0466796265754005e-20	hts_vs_msm	risk_group	yes
Flavonifractor_sp_An10	Otu_411	17.80404977873916	27.01744287014463	2.920143056671255	9.521718139649095e-21	1.0583755932148416e-19	hts_vs_msm	risk_group	yes
