id	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr..F.
group	1	1.027697662864546	1.027697662864546	4.665212154785989	0.01704715085287248	0.001
risk_group	2	2.8599878954124818	1.4299939477062409	6.688172106862726	0.049656714485339315	0.001
center	5	1.8968625602725084	0.3793725120545017	1.721799881562269	0.031464606158585165	0.002
gender	1	2.6735410202811107	2.6735410202811107	12.483195136016121	0.044347923256960645	0.001
ethnic_group	4	1.3840299156332632	0.3460074789083158	1.5922740321520334	0.023732598948561234	0.02
CD4diff_48	1	0.8132397964608319	0.8132397964608319	3.6518147012570354	0.017671341074532658	0.002
CD8diff_48	1	0.27596070861580624	0.27596070861580624	1.2246338621504274	0.005996504138560694	0.25
CD4after_48	2	0.7186401966815316	0.3593200983407658	1.6022087601552073	0.015615733613499097	0.056
CD8after_48	2	0.9184652358530763	0.45923261792653813	2.0567912948016063	0.019957843330460405	0.013
time_point	3	1.0201029020139865	0.34003430067132884	1.5319058749288437	0.01692117116196796	0.037
record_id	94	36.75616105850672	0.39102298998411406	2.9248489849160033	0.6097005422687505	0.001
cluster	1	8.459324642868893	8.459324642868893	43.90742830464102	0.1403208244129428	0.001
