id	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr..F.
group	1	0.956512435510106	0.956512435510106	3.4091427398896923	0.012514788254170007	0.001
risk_group	2	2.8339412642042596	1.4169706321021298	5.165221981731675	0.03878807022482393	0.001
center	5	2.2744559878293913	0.45489119756587826	1.6255728109369323	0.029758457939894883	0.002
gender	1	2.7318253826818713	2.7318253826818713	9.971146770843367	0.035742573690009646	0.001
ethnic_group	4	1.8604199654458187	0.46510499136145467	1.6844050962661696	0.025071370265951527	0.001
CD4diff_48	1	0.7980095460413994	0.7980095460413994	2.8332666991674933	0.013764862913575636	0.004
CD8diff_48	1	0.36537675273987774	0.36537675273987774	1.287497827236653	0.006302381892823778	0.17
CD4after_48	2	0.7747814795466597	0.38739073977332983	1.3680675436126546	0.013364202103647273	0.078
CD8after_48	2	1.529329947581965	0.7646649737909825	2.736507349657598	0.02637940508671493	0.002
time_point	3	1.2042928195778089	0.40143093985926964	1.424795442261582	0.015756689692169094	0.026
record_id	94	46.42816380816665	0.49391663625709203	2.8974115987121025	0.6074553947427337	0.001
cluster	1	8.201918040866888	8.201918040866888	32.337087090230604	0.10731200531100832	0.001
