SampleID	cluster
ADZ4_90	1
ADZ4_9	1
ADZ4_88	1
ADZ4_87	2
ADZ4_86	2
ADZ4_85	1
ADZ4_8	2
ADZ4_79	2
ADZ4_77	1
ADZ4_74	1
ADZ4_71	1
ADZ4_70	1
ADZ4_7	1
ADZ4_68	1
ADZ4_62	1
ADZ4_6	1
ADZ4_58	1
ADZ4_53	1
ADZ4_51	1
ADZ4_50	1
ADZ4_5	1
ADZ4_47	1
ADZ4_46	2
ADZ4_44	1
ADZ4_41	1
ADZ4_40	2
ADZ4_4	1
ADZ4_39	1
ADZ4_38	2
ADZ4_37	1
ADZ4_35	1
ADZ4_32	1
ADZ4_31	1
ADZ4_30	1
ADZ4_3	1
ADZ4_29	1
ADZ4_28	2
ADZ4_271	1
ADZ4_270	2
ADZ4_27	2
ADZ4_269	1
ADZ4_266	1
ADZ4_262	1
ADZ4_260	1
ADZ4_25	1
ADZ4_24	1
ADZ4_23	1
ADZ4_21	2
ADZ4_202	1
ADZ4_20	1
ADZ4_2	1
ADZ4_195	1
ADZ4_19	1
ADZ4_182	1
ADZ4_18	1
ADZ4_179	1
ADZ4_174	1
ADZ4_17	1
ADZ4_168	1
ADZ4_16	1
ADZ4_155	1
ADZ4_146	1
ADZ4_140	1
ADZ4_14	1
ADZ4_137	1
ADZ4_135	1
ADZ4_133	1
ADZ4_130	2
ADZ4_13	2
ADZ4_126	1
ADZ4_125	1
ADZ4_120	1
ADZ4_114	1
ADZ4_113	1
ADZ4_11	1
ADZ4_106	1
ADZ4_104	1
ADZ4_103	1
ADZ4_102	1
ADZ4_10	2
ADZ4_1	2
